CaseID	weight2	contest_no	FeatEd	FeatGender	FeatCountry	FeatReason	FeatJob	FeatExp	FeatPlans	FeatTrips	FeatLang	Chosen_Immigrant	Support_Admission	Rating_Immigrant	W1_Q1	W1_Q2	W1_Q3	W1_Q4	W1_Q5	W1_Q6	W1_Q7	W1_Q8a	W1_Q8b	W2_Q16	ppage	ppeducat	ppethm	ppgender	ppincimp	ppstaten	Party_ID	Ideology	Panel_Tenure_Months	OCC_GA	OCC_WA	OCC_NU	OCC_CC	OCC_JA	OCC_CO	OCC_FA	OCC_RS	OCC_DR	OCC_CP	OCC_TE	FB09	fisexp1	fisexp2	censusgroup
6	0.28	1	1	1	1.0	1	1.0	2	4	5.0	2	0.0	0	2	4	5	5	3	50	50	50	50		3	62	4	1	1	18	22	3	5	104	0	0	0	0	0	0	0	0	0	0	0	0.11701912	2.0	2.0	
6	0.28	2	2	1	8.0	3	2.0	2	4	2.0	1	0.0	0	4	4	5	5	3	50	50	50	50		3	62	4	1	1	18	22	3	5	104	0	0	0	0	0	0	0	0	0	0	0	0.11701912	2.0	2.0	
6	0.28	2	7	1	3.0	2	9.0	3	3	3.0	1	1.0	0	2	4	5	5	3	50	50	50	50		3	62	4	1	1	18	22	3	5	104	0	0	0	0	0	0	0	0	0	0	0	0.11701912	2.0	2.0	
6	0.28	3	7	1	4.0	2	1.0	3	3	4.0	4	0.0	0	3	4	5	5	3	50	50	50	50		3	62	4	1	1	18	22	3	5	104	0	0	0	0	0	0	0	0	0	0	0	0.11701912	2.0	2.0	
6	0.28	3	4	1	8.0	3	3.0	3	4	5.0	3	1.0	0	1	4	5	5	3	50	50	50	50		3	62	4	1	1	18	22	3	5	104	0	0	0	0	0	0	0	0	0	0	0	0.11701912	2.0	2.0	
6	0.28	4	6	2	9.0	1	7.0	4	2	4.0	2	1.0	0	3	4	5	5	3	50	50	50	50		3	62	4	1	1	18	22	3	5	104	0	0	0	0	0	0	0	0	0	0	0	0.11701912	2.0	2.0	
6	0.28	4	7	1	1.0	2	1.0	4	3	5.0	3	0.0	0	1	4	5	5	3	50	50	50	50		3	62	4	1	1	18	22	3	5	104	0	0	0	0	0	0	0	0	0	0	0	0.11701912	2.0	2.0	
6	0.28	5	3	1	2.0	1	2.0	4	1	4.0	3	1.0	0	3	4	5	5	3	50	50	50	50		3	62	4	1	1	18	22	3	5	104	0	0	0	0	0	0	0	0	0	0	0	0.11701912	2.0	2.0	
6	0.28	5	3	1	2.0	2	3.0	4	2	5.0	2	0.0	0	1	4	5	5	3	50	50	50	50		3	62	4	1	1	18	22	3	5	104	0	0	0	0	0	0	0	0	0	0	0	0.11701912	2.0	2.0	
7	0.5	1	3	2	3.0	1	2.0	1	1	1.0	4	0.0	0	4	5	4	5	5	85	70	90	90		5	39	4	1	1	15	58	1	7	101	0	0	0	0	0	0	0	0	0	0	0	0.12541616	1.0	1.0	1.0
7	0.5	1	3	2	7.0	3	3.0	4	2	1.0	2	1.0	1	6	5	4	5	5	85	70	90	90		5	39	4	1	1	15	58	1	7	101	0	0	0	0	0	0	0	0	0	0	0	0.12541616	1.0	1.0	1.0
7	0.5	2	2	2	5.0	1	9.0	1	4	2.0	1	0.0	0	3	5	4	5	5	85	70	90	90		5	39	4	1	1	15	58	1	7	101	0	0	0	0	0	0	0	0	0	0	0	0.12541616	1.0	1.0	1.0
7	0.5	2	5	1	2.0	2	11.0	2	2	3.0	1	1.0	1	6	5	4	5	5	85	70	90	90		5	39	4	1	1	15	58	1	7	101	0	0	0	0	0	0	0	0	0	0	0	0.12541616	1.0	1.0	1.0
7	0.5	3	5	1	10.0	1	5.0	2	4	3.0	1	0.0	0	2	5	4	5	5	85	70	90	90		5	39	4	1	1	15	58	1	7	101	0	0	0	0	0	0	0	0	0	0	0	0.12541616	1.0	1.0	1.0
7	0.5	3	4	2	2.0	1	3.0	1	4	3.0	3	1.0	1	5	5	4	5	5	85	70	90	90		5	39	4	1	1	15	58	1	7	101	0	0	0	0	0	0	0	0	0	0	0	0.12541616	1.0	1.0	1.0
7	0.5	4	6	1	5.0	1	2.0	4	1	4.0	1	1.0	1	6	5	4	5	5	85	70	90	90		5	39	4	1	1	15	58	1	7	101	0	0	0	0	0	0	0	0	0	0	0	0.12541616	1.0	1.0	1.0
7	0.5	4	4	1	5.0	1	3.0	2	1	1.0	3	0.0	0	4	5	4	5	5	85	70	90	90		5	39	4	1	1	15	58	1	7	101	0	0	0	0	0	0	0	0	0	0	0	0.12541616	1.0	1.0	1.0
7	0.5	5	2	1	3.0	2	7.0	1	2	1.0	2	1.0	1	5	5	4	5	5	85	70	90	90		5	39	4	1	1	15	58	1	7	101	0	0	0	0	0	0	0	0	0	0	0	0.12541616	1.0	1.0	1.0
7	0.5	5	7	2	6.0	1	11.0	3	2	5.0	4	0.0	0	3	5	4	5	5	85	70	90	90		5	39	4	1	1	15	58	1	7	101	0	0	0	0	0	0	0	0	0	0	0	0.12541616	1.0	1.0	1.0
8	0.5	1	6	2	10.0	2	8.0	1	2	2.0	2	1.0	0	4	5	4		4	50	45	50	100		4	42	4	1	1	16	46	2	6	50	0	0	0	0	0	0	0	0	0	0	0		1.0	1.0	1.0
8	0.5	1	1	2	10.0	1	2.0	2	4	2.0	3	0.0	0	2	5	4		4	50	45	50	100		4	42	4	1	1	16	46	2	6	50	0	0	0	0	0	0	0	0	0	0	0		1.0	1.0	1.0
8	0.5	2	5	2	7.0	1	8.0	2	2	3.0	4	1.0	0	4	5	4		4	50	45	50	100		4	42	4	1	1	16	46	2	6	50	0	0	0	0	0	0	0	0	0	0	0		1.0	1.0	1.0
8	0.5	2	6	1	8.0	3	6.0	3	4	5.0	3	0.0	0	3	5	4		4	50	45	50	100		4	42	4	1	1	16	46	2	6	50	0	0	0	0	0	0	0	0	0	0	0		1.0	1.0	1.0
8	0.5	3	5	1	2.0	1	5.0	1	3	3.0	4	1.0	1	5	5	4		4	50	45	50	100		4	42	4	1	1	16	46	2	6	50	0	0	0	0	0	0	0	0	0	0	0		1.0	1.0	1.0
8	0.5	3	3	2	9.0	2	9.0	4	4	3.0	1	0.0	0	3	5	4		4	50	45	50	100		4	42	4	1	1	16	46	2	6	50	0	0	0	0	0	0	0	0	0	0	0		1.0	1.0	1.0
8	0.5	4	5	2	10.0	2	8.0	3	4	1.0	4	0.0	1	7	5	4		4	50	45	50	100		4	42	4	1	1	16	46	2	6	50	0	0	0	0	0	0	0	0	0	0	0		1.0	1.0	1.0
8	0.5	4	7	1	10.0	2	9.0	1	1	1.0	4	1.0	0	2	5	4		4	50	45	50	100		4	42	4	1	1	16	46	2	6	50	0	0	0	0	0	0	0	0	0	0	0		1.0	1.0	1.0
8	0.5	5	1	2	8.0	2	6.0	3	4	5.0	1	0.0	1	5	5	4		4	50	45	50	100		4	42	4	1	1	16	46	2	6	50	0	0	0	0	0	0	0	0	0	0	0		1.0	1.0	1.0
8	0.5	5	4	1	9.0	3	9.0	3	2	4.0	4	1.0	0	3	5	4		4	50	45	50	100		4	42	4	1	1	16	46	2	6	50	0	0	0	0	0	0	0	0	0	0	0		1.0	1.0	1.0
9	0.37	1	6	2	6.0	2	8.0	3	4	1.0	4	0.0	0	4	4	3	4	3	100	100	100	100		3	33	4	1	2	14	35	7	2	63	0	0	0	0	0	0	0	1	0	0	0	0.09350198	1.0	1.0	1.0
9	0.37	1	5	2	6.0	2	8.0	2	3	2.0	2	1.0	1	5	4	3	4	3	100	100	100	100		3	33	4	1	2	14	35	7	2	63	0	0	0	0	0	0	0	1	0	0	0	0.09350198	1.0	1.0	1.0
9	0.37	2	7	1	1.0	2	10.0	2	2	3.0	2	1.0	1	6	4	3	4	3	100	100	100	100		3	33	4	1	2	14	35	7	2	63	0	0	0	0	0	0	0	1	0	0	0	0.09350198	1.0	1.0	1.0
9	0.37	2	5	1	6.0	2	5.0	2	3	4.0	4	0.0	0	4	4	3	4	3	100	100	100	100		3	33	4	1	2	14	35	7	2	63	0	0	0	0	0	0	0	1	0	0	0	0.09350198	1.0	1.0	1.0
9	0.37	3	4	1	1.0	1	2.0	1	2	4.0	1	1.0	1	5	4	3	4	3	100	100	100	100		3	33	4	1	2	14	35	7	2	63	0	0	0	0	0	0	0	1	0	0	0	0.09350198	1.0	1.0	1.0
9	0.37	3	4	2	5.0	1	2.0	2	4	1.0	2	0.0	0	4	4	3	4	3	100	100	100	100		3	33	4	1	2	14	35	7	2	63	0	0	0	0	0	0	0	1	0	0	0	0.09350198	1.0	1.0	1.0
9	0.37	4	7	2	8.0	3	4.0	3	1	2.0	1	1.0	1	6	4	3	4	3	100	100	100	100		3	33	4	1	2	14	35	7	2	63	0	0	0	0	0	0	0	1	0	0	0	0.09350198	1.0	1.0	1.0
9	0.37	4	7	2	2.0	2	11.0	2	4	5.0	4	0.0	0	4	4	3	4	3	100	100	100	100		3	33	4	1	2	14	35	7	2	63	0	0	0	0	0	0	0	1	0	0	0	0.09350198	1.0	1.0	1.0
9	0.37	5	2	1	10.0	3	6.0	3	3	4.0	4	0.0	0	3	4	3	4	3	100	100	100	100		3	33	4	1	2	14	35	7	2	63	0	0	0	0	0	0	0	1	0	0	0	0.09350198	1.0	1.0	1.0
9	0.37	5	3	2	2.0	1	4.0	1	2	2.0	3	1.0	0	3	4	3	4	3	100	100	100	100		3	33	4	1	2	14	35	7	2	63	0	0	0	0	0	0	0	1	0	0	0	0.09350198	1.0	1.0	1.0
10	0.42	1	7	2	2.0	1	6.0	1	3	3.0	4	1.0	1	7	3	3	4	3	50	50	50	50		2	55	4	1	1	10	61	2	5	72	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
10	0.42	1	5	1	8.0	3	9.0	3	3	2.0	4	0.0	0	2	3	3	4	3	50	50	50	50		2	55	4	1	1	10	61	2	5	72	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
10	0.42	2	6	2	6.0	2	5.0	2	4	1.0	4	1.0	1	5	3	3	4	3	50	50	50	50		2	55	4	1	1	10	61	2	5	72	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
10	0.42	2	5	2	10.0	2	4.0	4	4	5.0	3	0.0	0	1	3	3	4	3	50	50	50	50		2	55	4	1	1	10	61	2	5	72	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
10	0.42	3	2	1	1.0	1	7.0	1	3	3.0	4	1.0	1	6	3	3	4	3	50	50	50	50		2	55	4	1	1	10	61	2	5	72	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
10	0.42	3	2	1	8.0	1	2.0	2	2	4.0	1	0.0	0	2	3	3	4	3	50	50	50	50		2	55	4	1	1	10	61	2	5	72	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
10	0.42	4	2	2	3.0	2	4.0	2	2	3.0	4	0.0	1	6	3	3	4	3	50	50	50	50		2	55	4	1	1	10	61	2	5	72	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
10	0.42	4	5	2	2.0	2	9.0	3	3	1.0	2	1.0	1	6	3	3	4	3	50	50	50	50		2	55	4	1	1	10	61	2	5	72	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
10	0.42	5	5	2	4.0	1	10.0	1	2	5.0	4	0.0	1	6	3	3	4	3	50	50	50	50		2	55	4	1	1	10	61	2	5	72	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
10	0.42	5	2	2	4.0	2	1.0	4	1	5.0	2	1.0	1	6	3	3	4	3	50	50	50	50		2	55	4	1	1	10	61	2	5	72	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
11	1.59	1	7	2	9.0	2	10.0	1	2	3.0	4	0.0	0	2	4	3	4	4	80	50	80	80		3	67	3	1	2	11	47	5	2	66	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
11	1.59	1	7	2	1.0	1	11.0	3	2	5.0	1	1.0	1	6	4	3	4	4	80	50	80	80		3	67	3	1	2	11	47	5	2	66	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
11	1.59	2	1	1	7.0	1	9.0	3	3	4.0	3	1.0	0	4	4	3	4	4	80	50	80	80		3	67	3	1	2	11	47	5	2	66	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
11	1.59	2	2	2	3.0	2	9.0	4	2	3.0	1	0.0	0	4	4	3	4	4	80	50	80	80		3	67	3	1	2	11	47	5	2	66	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
11	1.59	3	6	2	8.0	3	4.0	3	1	1.0	3	1.0	1	5	4	3	4	4	80	50	80	80		3	67	3	1	2	11	47	5	2	66	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
11	1.59	3	6	2	2.0	2	8.0	4	2	1.0	3	0.0	0	3	4	3	4	4	80	50	80	80		3	67	3	1	2	11	47	5	2	66	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
11	1.59	4	3	2	9.0	1	6.0	1	4	3.0	4	0.0	1	5	4	3	4	4	80	50	80	80		3	67	3	1	2	11	47	5	2	66	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
11	1.59	4	4	2	9.0	2	6.0	1	3	5.0	1	1.0	0	4	4	3	4	4	80	50	80	80		3	67	3	1	2	11	47	5	2	66	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
11	1.59	5	4	1	7.0	2	4.0	1	1	4.0	1	0.0	1	5	4	3	4	4	80	50	80	80		3	67	3	1	2	11	47	5	2	66	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
11	1.59	5	5	1	3.0	2	11.0	3	3	3.0	1	1.0	0	4	4	3	4	4	80	50	80	80		3	67	3	1	2	11	47	5	2	66	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
12	0.3	1	6	1	8.0	1	9.0	1	4	5.0	1	1.0	1	5	2	2	2	4	65	75	85	95		4	66	4	1	1	17	82	2	5	68	0	0	0	0	0	0	0	0	0	0	0	0.047080446	1.0	1.0	3.0
12	0.3	1	2	2	6.0	2	1.0	4	1	1.0	4	0.0	0	2	2	2	2	4	65	75	85	95		4	66	4	1	1	17	82	2	5	68	0	0	0	0	0	0	0	0	0	0	0	0.047080446	1.0	1.0	3.0
12	0.3	2	6	1	7.0	1	8.0	3	4	4.0	4	1.0	1	5	2	2	2	4	65	75	85	95		4	66	4	1	1	17	82	2	5	68	0	0	0	0	0	0	0	0	0	0	0	0.047080446	1.0	1.0	3.0
12	0.3	2	6	1	9.0	2	2.0	4	1	1.0	3	0.0	0	3	2	2	2	4	65	75	85	95		4	66	4	1	1	17	82	2	5	68	0	0	0	0	0	0	0	0	0	0	0	0.047080446	1.0	1.0	3.0
12	0.3	3	6	2	3.0	2	11.0	3	3	3.0	1	1.0	1	6	2	2	2	4	65	75	85	95		4	66	4	1	1	17	82	2	5	68	0	0	0	0	0	0	0	0	0	0	0	0.047080446	1.0	1.0	3.0
12	0.3	3	6	2	9.0	3	7.0	3	2	2.0	1	0.0	0	3	2	2	2	4	65	75	85	95		4	66	4	1	1	17	82	2	5	68	0	0	0	0	0	0	0	0	0	0	0	0.047080446	1.0	1.0	3.0
12	0.3	4	6	2	3.0	1	3.0	2	2	2.0	4	0.0	1	5	2	2	2	4	65	75	85	95		4	66	4	1	1	17	82	2	5	68	0	0	0	0	0	0	0	0	0	0	0	0.047080446	1.0	1.0	3.0
12	0.3	4	5	2	10.0	2	7.0	1	4	4.0	3	1.0	0	3	2	2	2	4	65	75	85	95		4	66	4	1	1	17	82	2	5	68	0	0	0	0	0	0	0	0	0	0	0	0.047080446	1.0	1.0	3.0
12	0.3	5	5	1	10.0	1	3.0	4	1	4.0	3	1.0	1	5	2	2	2	4	65	75	85	95		4	66	4	1	1	17	82	2	5	68	0	0	0	0	0	0	0	0	0	0	0	0.047080446	1.0	1.0	3.0
12	0.3	5	7	2	4.0	1	6.0	1	1	5.0	3	0.0	0	3	2	2	2	4	65	75	85	95		4	66	4	1	1	17	82	2	5	68	0	0	0	0	0	0	0	0	0	0	0	0.047080446	1.0	1.0	3.0
13	0.17	1	6	2	3.0	2	4.0	4	1	2.0	4	0.0	1	5	5	3	4	3	40	50	80	90		2	85	4	1	1	17	21	5	4	65	0	0	0	0	0	0	0	0	0	0	0	0.12541616	2.0	2.0	1.0
13	0.17	1	6	1	4.0	2	10.0	3	3	1.0	1	1.0	1	7	5	3	4	3	40	50	80	90		2	85	4	1	1	17	21	5	4	65	0	0	0	0	0	0	0	0	0	0	0	0.12541616	2.0	2.0	1.0
13	0.17	2	7	2	10.0	2	4.0	1	4	1.0	1	0.0	1	5	5	3	4	3	40	50	80	90		2	85	4	1	1	17	21	5	4	65	0	0	0	0	0	0	0	0	0	0	0	0.12541616	2.0	2.0	1.0
13	0.17	2	6	2	8.0	3	8.0	4	1	4.0	1	1.0	1	6	5	3	4	3	40	50	80	90		2	85	4	1	1	17	21	5	4	65	0	0	0	0	0	0	0	0	0	0	0	0.12541616	2.0	2.0	1.0
13	0.17	3	4	1	3.0	1	1.0	4	3	4.0	2	0.0	1	5	5	3	4	3	40	50	80	90		2	85	4	1	1	17	21	5	4	65	0	0	0	0	0	0	0	0	0	0	0	0.12541616	2.0	2.0	1.0
13	0.17	3	4	1	2.0	2	7.0	1	2	1.0	4	1.0	1	6	5	3	4	3	40	50	80	90		2	85	4	1	1	17	21	5	4	65	0	0	0	0	0	0	0	0	0	0	0	0.12541616	2.0	2.0	1.0
13	0.17	4	3	1	5.0	2	3.0	3	3	4.0	3	0.0	1	5	5	3	4	3	40	50	80	90		2	85	4	1	1	17	21	5	4	65	0	0	0	0	0	0	0	0	0	0	0	0.12541616	2.0	2.0	1.0
13	0.17	4	7	2	8.0	2	2.0	2	1	3.0	1	1.0	1	6	5	3	4	3	40	50	80	90		2	85	4	1	1	17	21	5	4	65	0	0	0	0	0	0	0	0	0	0	0	0.12541616	2.0	2.0	1.0
13	0.17	5	5	1	5.0	2	4.0	3	1	1.0	2	0.0	1	6	5	3	4	3	40	50	80	90		2	85	4	1	1	17	21	5	4	65	0	0	0	0	0	0	0	0	0	0	0	0.12541616	2.0	2.0	1.0
13	0.17	5	5	2	9.0	2	10.0	1	2	4.0	2	1.0	1	6	5	3	4	3	40	50	80	90		2	85	4	1	1	17	21	5	4	65	0	0	0	0	0	0	0	0	0	0	0	0.12541616	2.0	2.0	1.0
14	0.45	1	1	2	7.0	1	6.0	2	3	5.0	1	1.0	1	5	4	2	4	3	90	90	90	90		3	42	4	1	2	12	93	5	3	35	0	0	0	0	0	0	0	0	0	0	0	0.11676584	1.0	2.0	1.0
14	0.45	1	6	1	7.0	1	9.0	4	4	1.0	3	0.0	0	3	4	2	4	3	90	90	90	90		3	42	4	1	2	12	93	5	3	35	0	0	0	0	0	0	0	0	0	0	0	0.11676584	1.0	2.0	1.0
14	0.45	2	4	1	9.0	2	7.0	3	2	3.0	1	1.0	1	6	4	2	4	3	90	90	90	90		3	42	4	1	2	12	93	5	3	35	0	0	0	0	0	0	0	0	0	0	0	0.11676584	1.0	2.0	1.0
14	0.45	2	4	2	2.0	2	7.0	2	4	4.0	1	0.0	0	3	4	2	4	3	90	90	90	90		3	42	4	1	2	12	93	5	3	35	0	0	0	0	0	0	0	0	0	0	0	0.11676584	1.0	2.0	1.0
14	0.45	3	7	1	2.0	1	9.0	1	4	2.0	2	0.0	1	5	4	2	4	3	90	90	90	90		3	42	4	1	2	12	93	5	3	35	0	0	0	0	0	0	0	0	0	0	0	0.11676584	1.0	2.0	1.0
14	0.45	3	4	1	9.0	2	2.0	3	1	2.0	4	1.0	0	1	4	2	4	3	90	90	90	90		3	42	4	1	2	12	93	5	3	35	0	0	0	0	0	0	0	0	0	0	0	0.11676584	1.0	2.0	1.0
14	0.45	4	6	1	1.0	2	8.0	1	1	1.0	1	1.0	1	5	4	2	4	3	90	90	90	90		3	42	4	1	2	12	93	5	3	35	0	0	0	0	0	0	0	0	0	0	0	0.11676584	1.0	2.0	1.0
14	0.45	4	5	1	4.0	2	7.0	2	2	1.0	2	0.0	1	5	4	2	4	3	90	90	90	90		3	42	4	1	2	12	93	5	3	35	0	0	0	0	0	0	0	0	0	0	0	0.11676584	1.0	2.0	1.0
14	0.45	5	5	1	10.0	2	11.0	4	2	3.0	1	1.0	1	6	4	2	4	3	90	90	90	90		3	42	4	1	2	12	93	5	3	35	0	0	0	0	0	0	0	0	0	0	0	0.11676584	1.0	2.0	1.0
14	0.45	5	4	2	5.0	2	3.0	1	1	2.0	4	0.0	1	5	4	2	4	3	90	90	90	90		3	42	4	1	2	12	93	5	3	35	0	0	0	0	0	0	0	0	0	0	0	0.11676584	1.0	2.0	1.0
15	0.85	1	4	2	5.0	2	4.0	4	1	3.0	3	1.0	0	4	4	5	4	3	40	80	80	60		3	48	4	1	1	18	72	7	3	77	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
15	0.85	1	6	2	4.0	1	2.0	1	4	1.0	1	0.0	0	3	4	5	4	3	40	80	80	60		3	48	4	1	1	18	72	7	3	77	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
15	0.85	2	2	1	8.0	3	2.0	3	3	3.0	1	1.0	1	5	4	5	4	3	40	80	80	60		3	48	4	1	1	18	72	7	3	77	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
15	0.85	2	5	2	9.0	2	6.0	1	4	2.0	2	0.0	0	3	4	5	4	3	40	80	80	60		3	48	4	1	1	18	72	7	3	77	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
15	0.85	3	3	2	1.0	2	1.0	1	3	5.0	2	0.0	1	5	4	5	4	3	40	80	80	60		3	48	4	1	1	18	72	7	3	77	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
15	0.85	3	4	1	1.0	1	6.0	3	2	4.0	1	1.0	0	3	4	5	4	3	40	80	80	60		3	48	4	1	1	18	72	7	3	77	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
15	0.85	4	1	2	9.0	3	6.0	2	4	3.0	3	1.0	1	5	4	5	4	3	40	80	80	60		3	48	4	1	1	18	72	7	3	77	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
15	0.85	4	1	2	3.0	1	7.0	4	4	5.0	3	0.0	0	3	4	5	4	3	40	80	80	60		3	48	4	1	1	18	72	7	3	77	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
15	0.85	5	4	2	7.0	2	7.0	4	4	5.0	4	0.0	1	5	4	5	4	3	40	80	80	60		3	48	4	1	1	18	72	7	3	77	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
15	0.85	5	7	2	2.0	2	2.0	1	2	4.0	1	1.0	0	3	4	5	4	3	40	80	80	60		3	48	4	1	1	18	72	7	3	77	0	0	0	0	0	0	0	0	0	0	0	0.09350198	1.0	1.0	3.0
16	0.43	1	4	2	7.0	1	9.0	2	4	4.0	4	1.0	1	6	5	5	4	5	70	70	80	80		2	76	4	1	1	15	93	7	2	70	0	0	0	0	0	0	0	0	0	0	0	0.12541616	1.0	2.0	2.0
16	0.43	1	1	1	3.0	2	1.0	2	4	1.0	4	0.0	0	1	5	5	4	5	70	70	80	80		2	76	4	1	1	15	93	7	2	70	0	0	0	0	0	0	0	0	0	0	0	0.12541616	1.0	2.0	2.0
16	0.43	2	1	2	10.0	2	1.0	3	2	1.0	1	0.0	1	7	5	5	4	5	70	70	80	80		2	76	4	1	1	15	93	7	2	70	0	0	0	0	0	0	0	0	0	0	0	0.12541616	1.0	2.0	2.0
16	0.43	2	4	2	1.0	2	6.0	3	4	4.0	2	1.0	0	2	5	5	4	5	70	70	80	80		2	76	4	1	1	15	93	7	2	70	0	0	0	0	0	0	0	0	0	0	0	0.12541616	1.0	2.0	2.0
16	0.43	3	4	2	2.0	2	2.0	1	4	5.0	1	0.0	0	3	5	5	4	5	70	70	80	80		2	76	4	1	1	15	93	7	2	70	0	0	0	0	0	0	0	0	0	0	0	0.12541616	1.0	2.0	2.0
