,CaseID,W1_Q1,W1_Q2,W1_Q3,W1_Q4,W1_Q5,W1_Q6,W1_Q7,W1_Q8a,W1_Q8b,W2_Q16,ppage,ppeducat,ppethm,ppgender,ppincimp,ppstaten,Party_ID,Ideology,Panel_Tenure_Months,OCC_GA,OCC_WA,OCC_NU,OCC_CC,OCC_JA,OCC_CO,OCC_FA,OCC_RS,OCC_DR,OCC_CP,OCC_TE,FB09,fisexp1,fisexp2,censusgroup
320,36.0,Never,Very poor,Never,Remain the same as it is,50.0,50.0,50.0,50.0,,Remain the same as it is,30.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$40,000 to $49,999",ia,Not Strong Republican,"Moderate, middle of the road",11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Few Immigrants
330,37.0,Never,Poor,Once in a while,Remain the same as it is,100.0,100.0,100.0,100.0,,Remain the same as it is,68.0,High school,"White, Non-Hispanic",Female,"$35,000 to $39,999",ca,Strong Republican,Conservative,87.0,,,,,,,,,,,,,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
340,38.0,Never,Fair,Once in a while,Be reduced a lot,75.0,50.0,75.0,75.0,,Be reduced a lot,59.0,Some college,"White, Non-Hispanic",Female,"$50,000 to $59,999",tx,Not Strong Republican,Conservative,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1494284,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
350,39.0,Once in a while,Fair,Once in a while,Be reduced a little,50.0,50.0,50.0,50.0,,Be reduced a lot,66.0,Some college,"White, Non-Hispanic",Female,"$100,000 to $124,999",oh,Leans Republican,Slightly conservative,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14417452,1.0,1.0,Few Immigrants
360,40.0,Never,Fair,About half the time,Remain the same as it is,5.0,5.0,5.0,5.0,,Remain the same as it is,33.0,Some college,"White, Non-Hispanic",Female,"$85,000 to $99,999",wa,Not Strong Republican,Conservative,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12541616,1.0,2.0,
370,41.0,Never,Poor,Never,Be reduced a little,40.0,40.0,40.0,40.0,,Remain the same as it is,26.0,Some college,"White, Non-Hispanic",Female,"$50,000 to $59,999",mn,Leans Republican,Conservative,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,
380,42.0,Once in a while,Very poor,Once in a while,Remain the same as it is,50.0,50.0,50.0,50.0,,Be increased a little,41.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$100,000 to $124,999",co,Strong Democrat,Liberal,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.17213379,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
390,43.0,About half the time,Excellent,Once in a while,Be reduced a little,90.0,90.0,90.0,90.0,,Be reduced a little,31.0,High school,"White, Non-Hispanic",Female,"$15,000 to $19,999",tx,Leans Democrat,Liberal,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11124244,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
400,44.0,Never,Poor,About half the time,Remain the same as it is,50.0,0.0,75.0,100.0,,Be reduced a lot,70.0,Less than high school,"White, Non-Hispanic",Female,"$50,000 to $59,999",pa,Strong Republican,Extremely conservative,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040401127,1.0,1.0,Few Immigrants
410,45.0,About half the time,Fair,Once in a while,Remain the same as it is,50.0,50.0,50.0,50.0,,Be reduced a little,43.0,Some college,"White, Non-Hispanic",Male,"$75,000 to $84,999",wa,Not Strong Republican,"Moderate, middle of the road",7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1439055,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
420,46.0,Once in a while,Good,Once in a while,Be reduced a little,50.0,45.0,60.0,50.0,,Be reduced a little,66.0,Bachelor's degree or higher,"Other, Non-Hispanic",Female,"$125,000 to $149,999",fl,Leans Republican,Conservative,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124495275,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
430,47.0,About half the time,Good,About half the time,Be increased a little,100.0,100.0,100.0,100.0,,Be increased a lot,45.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$60,000 to $74,999",fl,Leans Democrat,Liberal,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,1.0,2.0,Few Immigrants
440,48.0,Never,Fair,Once in a while,Be reduced a lot,7.0,4.0,8.0,8.0,,Be reduced a lot,21.0,High school,"White, Non-Hispanic",Male,"$50,000 to $59,999",va,Not Strong Republican,"Moderate, middle of the road",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058380287,1.0,1.0,Few Immigrants
450,49.0,Once in a while,Good,Once in a while,Remain the same as it is,70.0,70.0,70.0,70.0,,Be reduced a lot,51.0,Bachelor's degree or higher,"2+ Races, Non-Hispanic",Male,"$150,000 to $174,999",nj,Strong Republican,Conservative,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,
460,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Not Hispanic"
470,51.0,Never,Good,Never,Be increased a lot,100.0,98.0,99.0,98.0,,Be increased a lot,62.0,Some college,Hispanic,Male,"$100,000 to $124,999",nm,Strong Democrat,"Moderate, middle of the road",11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124495275,2.0,1.0,Few Immigrants
480,52.0,Never,Very poor,Never,Remain the same as it is,25.0,25.0,50.0,100.0,,Be increased a lot,41.0,Some college,"White, Non-Hispanic",Male,"$100,000 to $124,999",ny,Strong Republican,"Moderate, middle of the road",18.0,,,,,,,,,,,,,2.0,2.0,Few Immigrants
490,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Not Hispanic"
500,54.0,Never,Poor,Once in a while,Be reduced a lot,50.0,50.0,50.0,75.0,,Be reduced a lot,65.0,High school,"Other, Non-Hispanic",Female,"$85,000 to $99,999",mo,Leans Republican,"Moderate, middle of the road",14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Few Immigrants
510,55.0,Once in a while,Poor,Once in a while,Remain the same as it is,85.0,80.0,85.0,80.0,,Remain the same as it is,62.0,High school,"White, Non-Hispanic",Female,"$7,500 to $9,999",tx,Leans Democrat,"Moderate, middle of the road",39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13170539,1.0,1.0,"Many Immigrants, Majority Hispanic"
520,56.0,Once in a while,Fair,Once in a while,Be reduced a lot,30.0,0.0,50.0,100.0,,Be reduced a lot,40.0,High school,"White, Non-Hispanic",Male,"$50,000 to $59,999",il,Leans Republican,"Moderate, middle of the road",99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14116956,1.0,1.0,Few Immigrants
530,57.0,Once in a while,Fair,Once in a while,Be increased a little,65.0,75.0,50.0,50.0,,Be increased a little,31.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$20,000 to $24,999",ut,Strong Democrat,Liberal,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14417452,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
540,58.0,Once in a while,Excellent,Once in a while,Be reduced a lot,100.0,10.0,50.0,50.0,,Be reduced a little,18.0,Less than high school,Hispanic,Female,"$40,000 to $49,999",ny,Strong Democrat,"Moderate, middle of the road",9.0,,,,,,,,,,,,,2.0,2.0,"Many Immigrants, Majority Not Hispanic"
550,59.0,Most of the time,Poor,About half the time,Remain the same as it is,40.0,80.0,90.0,80.0,,Be increased a lot,21.0,Some college,"Other, Non-Hispanic",Female,"$85,000 to $99,999",ny,Not Strong Democrat,Liberal,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,2.0,2.0,"Many Immigrants, Majority Hispanic"
560,60.0,About half the time,Good,Once in a while,Be increased a little,60.0,86.0,80.0,99.0,,Be reduced a little,18.0,Less than high school,"White, Non-Hispanic",Male,"$100,000 to $124,999",in,Strong Republican,"Moderate, middle of the road",65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Few Immigrants
570,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few Immigrants
580,62.0,Never,Poor,Once in a while,Remain the same as it is,30.0,30.0,50.0,50.0,,Remain the same as it is,39.0,Bachelor's degree or higher,"Other, Non-Hispanic",Female,"$175,000 or more",ca,Not Strong Democrat,"Moderate, middle of the road",102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09350198,1.0,2.0,"Many Immigrants, Majority Hispanic"
590,63.0,Once in a while,Very poor,Once in a while,Be reduced a little,50.0,50.0,50.0,50.0,,Be reduced a lot,25.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$25,000 to $29,999",tx,Not Strong Democrat,"Moderate, middle of the road",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18283539,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
600,64.0,Never,Poor,Once in a while,Remain the same as it is,75.0,75.0,75.0,75.0,,Remain the same as it is,54.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$50,000 to $59,999",wi,Strong Democrat,Slightly liberal,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14449827,1.0,1.0,Few Immigrants
610,65.0,Once in a while,Excellent,Once in a while,Be reduced a little,50.0,50.0,50.0,50.0,,Be reduced a lot,42.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$25,000 to $29,999",mn,Not Strong Republican,Conservative,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11711983,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
620,66.0,About half the time,Fair,About half the time,Be increased a little,70.0,65.0,60.0,60.0,,Be increased a little,56.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$125,000 to $149,999",mn,Strong Democrat,Liberal,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12541616,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
630,67.0,Never,Fair,Once in a while,Be reduced a little,30.0,50.0,30.0,50.0,,Be reduced a lot,65.0,Some college,"White, Non-Hispanic",Female,"$125,000 to $149,999",va,Strong Democrat,Liberal,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1325904,1.0,1.0,Few Immigrants
640,68.0,About half the time,Fair,About half the time,Be increased a little,80.0,70.0,70.0,,100.0,Be increased a little,35.0,Bachelor's degree or higher,"Black, Non-Hispanic",Male,"$150,000 to $174,999",tx,Not Strong Democrat,Slightly liberal,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.11150729,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
650,69.0,About half the time,Good,About half the time,Remain the same as it is,65.0,60.0,70.0,70.0,,Remain the same as it is,28.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$35,000 to $39,999",mo,Not Strong Democrat,"Moderate, middle of the road",10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
660,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Not Hispanic"
670,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few Immigrants
680,72.0,Once in a while,Excellent,About half the time,Remain the same as it is,100.0,80.0,95.0,98.0,,Be reduced a little,20.0,Less than high school,Hispanic,Female,"$12,500 to $14,999",ca,Leans Democrat,Conservative,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,2.0,"Many Immigrants, Majority Hispanic"
690,73.0,Once in a while,Fair,Once in a while,Remain the same as it is,90.0,90.0,90.0,95.0,,Remain the same as it is,69.0,Bachelor's degree or higher,Hispanic,Female,"$100,000 to $124,999",fl,Leans Democrat,"Moderate, middle of the road",117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,1.0,2.0,"Many Immigrants, Majority Hispanic"
700,74.0,Most of the time,Excellent,Most of the time,Remain the same as it is,64.0,65.0,65.0,65.0,,Remain the same as it is,41.0,Bachelor's degree or higher,"Other, Non-Hispanic",Female,"$85,000 to $99,999",ca,Leans Democrat,"Moderate, middle of the road",92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12541616,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
710,75.0,Never,Fair,Once in a while,Be reduced a lot,10.0,20.0,75.0,80.0,,Be reduced a lot,65.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$100,000 to $124,999",ca,Not Strong Republican,"Moderate, middle of the road",67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09535995,1.0,2.0,"Many Immigrants, Majority Hispanic"
720,77.0,About half the time,Fair,Once in a while,Be reduced a lot,5.0,75.0,75.0,100.0,,Be reduced a lot,56.0,High school,"White, Non-Hispanic",Female,"$15,000 to $19,999",wa,Leans Republican,"Moderate, middle of the road",18.0,,,,,,,,,,,,,1.0,2.0,Few Immigrants
730,78.0,Once in a while,Poor,Never,Remain the same as it is,50.0,50.0,50.0,50.0,,Remain the same as it is,33.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$100,000 to $124,999",ca,Not Strong Democrat,Slightly liberal,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1642884,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
740,79.0,Once in a while,Poor,Once in a while,Be reduced a little,50.0,50.0,60.0,50.0,,Remain the same as it is,68.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$75,000 to $84,999",ma,Strong Democrat,Liberal,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.26893428,2.0,2.0,
750,80.0,Once in a while,Fair,About half the time,Be reduced a lot,40.0,35.0,40.0,50.0,,Be reduced a lot,41.0,Some college,"White, Non-Hispanic",Female,"$60,000 to $74,999",az,Strong Republican,Conservative,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18242587,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
760,81.0,Once in a while,Good,Once in a while,Remain the same as it is,40.0,50.0,50.0,90.0,,Remain the same as it is,69.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$40,000 to $49,999",mo,Not Strong Democrat,"Moderate, middle of the road",28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09350198,1.0,1.0,Few Immigrants
770,82.0,Never,Poor,Once in a while,Be reduced a little,40.0,25.0,50.0,75.0,,Be reduced a little,30.0,Some college,"White, Non-Hispanic",Female,"$100,000 to $124,999",nj,Not Strong Democrat,Slightly liberal,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,
780,83.0,Never,Poor,Never,Remain the same as it is,25.0,50.0,25.0,50.0,,Be reduced a little,58.0,High school,"White, Non-Hispanic",Male,"$12,500 to $14,999",tn,Strong Democrat,Liberal,36.0,,,,,,,,,,,,,1.0,1.0,Few Immigrants
790,84.0,Never,Very poor,Once in a while,Be reduced a little,80.0,75.0,100.0,100.0,,Be reduced a lot,72.0,High school,"White, Non-Hispanic",Female,"$20,000 to $24,999",nc,Not Strong Republican,Conservative,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13005003,1.0,1.0,"Many Immigrants, Majority Hispanic"
800,85.0,Never,Very poor,Never,Remain the same as it is,,,,50.0,,Remain the same as it is,48.0,High school,"White, Non-Hispanic",Male,"$30,000 to $34,999",tx,Not Strong Democrat,"Moderate, middle of the road",108.0,,,,,,,,,,,,,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
810,86.0,Once in a while,Very poor,Once in a while,Remain the same as it is,100.0,100.0,100.0,100.0,,Be reduced a little,45.0,High school,"White, Non-Hispanic",Male,"$35,000 to $39,999",wa,Leans Republican,Conservative,19.0,,,,,,,,,,,,,1.0,2.0,Few Immigrants
